entidad,recaudo,acumulado,porcentaje
Municipio GUARNE,1597610081.0,0.8740196558011524,0.00042958369999823373
Municipio TIBU,1582827766.0,0.8744452646629547,0.00042560886180225506
MUNICIPIO DE OCAÑA,1564771419.0,0.8748660183273311,0.00042075366437644964
Municipio de SEGOVIA,1563484538.0,0.8752864259604024,0.00042040763307130705
Municipio VILLANUEVA,1556068997.0,0.8757048396178609,0.00041841365745851257
Municipio CIENAGA DE ORO,1555683151.0,0.8761231495246269,0.0004183099067659745
Municipio SAN MARTIN,1537310748.0,0.8765365192492092,0.00041336972458231024
Municipio TUQUERRES,1530861996.0,0.8769481549594801,0.0004116357102708851
Municipio BOLIVAR,1516226991.0,0.8773558554419553,0.00040770048247521586
Municipio MARIA LA BAJA,1502179877.0,0.8777597787755015,0.0004039233335462107
Municipio MONTENEGRO,1489277136.0,0.8781602326722403,0.00040045389673880804
Municipio SAN PEDRO,1481544165.0,0.8785586072391517,0.0003983745669112949
Municipio FLORIDA,1479485660.0,0.8789564282916573,0.00039782105250569513
Municipio LEBRIJA,1462718561.0,0.8793497408145085,0.0003933125228511075
Municipio DAGUA,1455996536.0,0.8797412458422734,0.0003915050277649641
MUNICIPIO EL CARMEN DE VIBORAL,1449715678.0,0.880131062000989,0.0003898161587155684
Municipio VILLAMARIA,1444605849.0,0.8805195041703474,0.0003884421693584129
Municipio ANSERMA,1430492099.0,0.8809041512729258,0.0003846471025783792
Municipio MARIQUITA,1423625419.0,0.8812869519839245,0.00038280071099874077
Municipio FRESNO,1409498110.0,0.881665953982244,0.00037900199831946194
Municipio SOCORRO,1408564265.0,0.8820447048776222,0.0003787508953782025
MUNICIPIO DE SAN VICENTE DEL CAGUAN,1400150692.0,0.8824211934351105,0.00037648855748829453
MUNICIPIO DE PUERTO GAITAN,1384072664.0,0.8827933587482483,0.0003721653131378383
Municipio ORITO,1370664617.0,0.8831619187521129,0.0003685600038646238
Municipio SAN ANDRES SOTAVENTO,1370220779.0,0.8835303594117317,0.00036844065961879854
Municipio SAN JUAN DEL CESAR,1356950820.0,0.8838952318927606,0.00036487248102889085
Municipio URRAO,1351003564.0,0.8842585052074674,0.00036327331470683216
MUNICIPIO DE VILLANUEVA,1347623116.0,0.8846208695485913,0.00036236434112387714
Municipio EL CERRITO,1335227890.0,0.8849799009193549,0.0003590313707635115
Municipio SAMPUES,1329173705.0,0.8853373043715018,0.0003574034521470079
Municipio BOSCONIA,1318866018.0,0.8856919361746886,0.0003546318031867609
Municipio PAZ DE ARIPORO,1318172785.0,0.886046381573445,0.00035444539875639173
MUNICIPIO DEL EPINAL,1318153870.0,0.8864008218861195,0.000354440312674511
Municipio SONSON,1315218083.0,0.8867544727907546,0.0003536509046350491
Municipio BARANOA,1302997743.0,0.8871048377503803,0.0003503649596257697
Municipio SAN AGUSTIN,1298048004.0,0.887453871767482,0.0003490340171017249
MUNICIPIO DE RIOSUCIO,1293533788.0,0.8878016919504731,0.0003478201829910529
Municipio AGUADAS,1290080845.0,0.8881485836665951,0.00034689171612203157
Municipio CAMPOALEGRE,1286189764.0,0.8884944291042837,0.00034584543768848133
Municipio ZARZAL,1283588658.0,0.8888395751267939,0.00034514602251023695
Municipio ACEVEDO,1276187834.0,0.8891827311309668,0.000343156004172993
Municipio BARBACOAS,1269890235.0,0.8895241937645786,0.0003414626336117408
Municipio ISTMINA,1264624686.0,0.8898642405370557,0.0003400467724771352
Municipio PEÑOL,1252744992.0,0.8902010929613223,0.00033685242426660536
MUNICIPIO DE CHAPARRAL,1249784430.0,0.8905371493157637,0.00033605635444133354
Municipio LIBANO,1239936665.0,0.8908705576903407,0.00033340837457708207
